-- Confusion Matrix -- 
20	7	0	0	0	|	27
2	115	12	0	0	|	129
0	2	107	3	0	|	112
0	0	22	20	0	|	42
0	0	1	2	1	|	4
------	------	------	------	------	|	------
22	124	142	25	1	|	314
#numberOfClasses 
#RegressionValues (if RegressionValues == 0 -> there aren't definitions of class, directly with @data)
#Class1 inittial
#Class2 inittial
#...
#ClassN inittial final 
5
1
9,000
13,700
23,100
32,500
41,900	46,600
@metrics
-- Classification metrics -- 
CCR:	0,838
Recall or Sensibility (S:) or True Positive Rate (TPR:): 
	RecallMin:(MS:)	0,250
	RecallMinIndex:	4
	RecallMacro-Media (MM):	0,663
	RecallClasses:	0,741	0,891	0,955	0,476	0,250	
Precision: 
	PrecisionMin:(MS:)	0,754
	PrecisionMinIndex:	2
	PrecisionMacro-Media:	0,878
	PrecisionClasses:	0,909	0,927	0,754	0,800	1,000	
F1-Score: 
	F1-ScoreMin:(MS:)	0,400
	F1-ScoreMinIndex:	4
	F1-ScoreMacro-Media:	0,713
	F1-ScoreClasses:	0,816	0,909	0,843	0,597	0,400	
Specificity (Sp) or True Negative Rate (TNR): 
	TNRMedia: 	0,951
	TNRClasses:	0,993	0,951	0,827	0,982	1,000	
False Positive Rate (FPR): 
	FPRMedia:	0,049
	FPRClasses:	0,007	0,049	0,173	0,018	0,000	
Kappa Cohen:	0,754
Area Under Curve ROC (AUC):
	AUCMedia:	0,807
	AUCClasses:	0,867	0,921	0,891	0,729	0,625	
-- Regression metrics -- 
MSE:	6,209
RMSE:	2,492
R-MAE:	1,525
-- Ordinal metrics -- 
O-MAE: 
	O-MAEAllClasses:	0,166
	O-AMAE:	0,387
	O-MMAE:	1,000
	O-MMAEIndex:	4
	O-mMAE:	0,045
	O-mMAEIndex:	2
	O-MAEClasses:	0,259	0,109	0,045	0,524	1,000	
Rs:	0,880
	numerador:	181,277
	denominador:	205,930
Taub:	0,869
	numerador:	55918,000
	denominador:	64376,326
OC_beta:	0,172
	beta:	0,000
myMetric:	0,898
@data (realValue	predictedValue	realClass	predictedClass
26,000	27,117	2	2
18,000	18,661	1	1
13,000	16,017	0	1
17,500	17,975	1	1
24,000	25,025	2	2
27,000	26,592	2	2
16,500	16,050	1	1
13,000	12,133	0	0
16,000	17,650	1	1
28,800	27,833	2	2
18,000	20,361	1	1
34,300	27,900	3	2
34,100	34,850	3	3
15,500	17,878	1	1
26,600	27,050	2	2
19,000	20,916	1	1
23,000	24,633	1	2
21,500	18,758	1	1
20,000	19,183	1	1
25,500	24,800	2	2
22,000	23,200	1	2
40,800	33,841	3	3
15,000	17,650	1	1
34,000	30,183	3	2
15,000	16,017	1	1
16,500	17,617	1	1
20,500	18,758	1	1
36,000	35,339	3	3
23,000	23,233	1	2
9,000	9,000	0	0
21,000	22,383	1	1
32,000	30,900	2	2
28,000	27,800	2	2
36,100	36,350	3	3
34,400	34,883	3	3
36,100	37,100	3	3
14,000	15,133	1	1
13,000	16,017	0	1
21,000	20,683	1	1
28,000	27,800	2	2
39,400	36,450	3	3
32,000	30,900	2	2
16,000	16,117	1	1
27,000	27,767	2	2
36,000	29,072	3	2
18,000	18,661	1	1
20,000	19,217	1	1
18,000	18,367	1	1
25,000	24,700	2	2
31,000	31,817	2	2
11,000	11,611	0	0
16,000	16,017	1	1
14,000	15,133	1	1
28,000	25,350	2	2
25,400	25,517	2	2
19,000	18,400	1	1
27,000	27,800	2	2
17,000	17,617	1	1
25,000	24,633	2	2
31,500	32,600	2	3
22,000	21,633	1	1
23,200	24,600	2	2
32,000	30,900	2	2
29,000	26,200	2	2
29,800	28,179	2	2
14,000	15,133	1	1
35,000	27,012	3	2
23,000	23,722	1	2
24,200	24,700	2	2
31,900	31,525	2	2
28,000	26,200	2	2
31,000	30,900	2	2
44,000	44,250	4	4
22,000	20,456	1	1
32,300	34,067	2	3
35,700	34,394	3	3
18,100	18,400	1	1
14,000	12,133	1	0
30,700	29,725	2	2
19,000	20,100	1	1
29,900	28,783	2	2
18,000	20,591	1	1
15,000	16,017	1	1
16,200	17,583	1	1
30,500	30,183	2	2
24,000	24,633	2	2
